Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32.467.086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;09/2015;439.969;438.715;134;375;314;61;369;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;;14;SAO PAULO;SP;09/2015;430.409;217.810;47.047;62.625;77.599;24.465;863;0
RENDIMENTO;51.468;b1;C;2;;199;SAO PAULO;SP;09/2015;428.346;387.109;6.854;389;20.009;12.744;1.243;0
BANCO RANDON S.A.;11.476.673;b1;I;2;;8;CAXIAS DO SUL;RS;09/2015;424.453;202.677;38.971;17.287;17.486;148.019;14;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NORTE MATO-GROSSENSE - SICREDI NORTE MT;37.442.605;b3S;I;2;;9;COLIDER;MT;09/2015;424.068;5.627;362.942;143;45.826;7.188;2.342;0
BANCO DA CHINA BRASIL S.A.;10.690.848;b1;I;3;;8;SAO PAULO;SP;09/2015;418.424;215.922;5.024;21.753;0;175.725;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;;9;CAMPO VERDE;MT;09/2015;411.981;11.503;395.456;147;465;3.529;880;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;;9;BELO HORIZONTE;MG;09/2015;410.732;408.493;335;1.050;146;170;538;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70.431.630;b3S;I;2;;9;JUINA;MT;09/2015;407.770;5.831;320.705;171;70.258;8.367;2.438;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3.459.850;b3S;I;2;;9;MARINGA;PR;09/2015;406.935;10.853;6.531;32;55;388.783;680;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24.795.049;b3S;I;2;;9;RIO VERDE;GO;09/2015;398.549;8.981;388.716;84;720;2;45;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44.469.161;b3S;I;2;;9;GUARIBA;SP;09/2015;394.033;394.016;0;0;0;5;12;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;;9;PONTA GROSSA;PR;09/2015;392.555;16.511;1.553;50;16;372.371;2.054;0
